48
18
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
27	27	0	27	61	0	7	54	54	54	54	54	0	0	0	7	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0		1	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
7	7	0	7	14	0	0	14	14	14	14	14	0	0	0	0	0	0		2	
1	0	1	0	0	0	10	1	1	1	12	2	11	1	0	11	1	0		2	
